center1,center2,far_base,close_base,far_ecc,close_ecc
"[(215.5, -6.5)]","[(469.5, -2.5)]","[(469.5, -2.5)]","[(215.5, -6.5)]",469.5066559698595,215.59800555663776
"[(470.5, -15.5)]","[(217.5, 1.5)]","[(470.5, -15.5)]","[(217.5, 1.5)]",470.7552442618138,217.50517235229142
"[(456.5, -18.5)]","[(265.5, -0.5)]","[(456.5, -18.5)]","[(265.5, -0.5)]",456.8747093022331,265.50047080937543
"[(236.5, -3.5)]","[(402.5, -4.5)]","[(402.5, -4.5)]","[(236.5, -3.5)]",402.52515449348004,236.52589710219894
"[(343.5, 3.5)]","[(203.5, 0.5)]","[(343.5, 3.5)]","[(203.5, 0.5)]",343.51783068714207,203.5006142496872
"[(268.5, -1.5)]","[(462.5, 7.5)]","[(462.5, 7.5)]","[(268.5, -1.5)]",462.5608068135475,268.50418991144255
"[(403.5, -8.5)]","[(213.5, -2.5)]","[(403.5, -8.5)]","[(213.5, -2.5)]",403.58951918998093,213.514636500639
"[(300.5, -9.5)]","[(500.5, 4.5)]","[(500.5, 4.5)]","[(300.5, -9.5)]",500.5202293614115,300.650128887383
"[(353.5, -1.5)]","[(200.5, -4.5)]","[(353.5, -1.5)]","[(200.5, -4.5)]",353.503182446778,200.55049239530678
"[(489.5, 15.5)]","[(286.5, 11.5)]","[(489.5, 15.5)]","[(286.5, 11.5)]",489.74534198907907,286.7307099004221
"[(404.5, 13.5)]","[(233.5, -1.5)]","[(404.5, 13.5)]","[(233.5, -1.5)]",404.725215423996,233.50481793744643
"[(432.5, -18.5)]","[(256.5, 8.5)]","[(432.5, -18.5)]","[(256.5, 8.5)]",432.89548392192773,256.6407995623455
"[(361.5, 1.5)]","[(204.5, 8.5)]","[(361.5, 1.5)]","[(204.5, 8.5)]",361.5031120197999,204.67657413587906
"[(364.5, -14.5)]","[(216.5, -1.5)]","[(364.5, -14.5)]","[(216.5, -1.5)]",364.78829476834915,216.50519624249208
"[(342.5, -2.5)]","[(204.5, -2.5)]","[(342.5, -2.5)]","[(204.5, -2.5)]",342.50912396606316,204.51528060269726
"[(449.5, 3.5)]","[(259.5, 1.5)]","[(449.5, 3.5)]","[(259.5, 1.5)]",449.51362604486195,259.50433522390335
"[(427.5, -2.5)]","[(212.5, 1.5)]","[(427.5, -2.5)]","[(212.5, 1.5)]",427.50730987902415,212.5052940517012
"[(409.5, 15.5)]","[(203.5, -1.5)]","[(409.5, 15.5)]","[(203.5, -1.5)]",409.79324054942634,203.50552818044034
"[(441.5, 8.5)]","[(236.5, 1.5)]","[(441.5, 8.5)]","[(236.5, 1.5)]",441.5818157487919,236.50475682319797
"[(389.5, 13.5)]","[(219.5, 0.5)]","[(389.5, 13.5)]","[(219.5, 0.5)]",389.733883566723,219.50056947534327
"[(337.5, 2.5)]","[(200.5, -4.5)]","[(337.5, 2.5)]","[(200.5, -4.5)]",337.5092591322496,200.55049239530678
"[(450.5, -11.5)]","[(229.5, 0.5)]","[(450.5, -11.5)]","[(229.5, 0.5)]",450.64675744977905,229.50054466166307
"[(343.5, 3.5)]","[(203.5, 0.5)]","[(343.5, 3.5)]","[(203.5, 0.5)]",343.51783068714207,203.5006142496872
"[(447.5, -16.5)]","[(244.5, 9.5)]","[(447.5, -16.5)]","[(244.5, 9.5)]",447.80408662717673,244.684490722236
"[(254.5, -6.5)]","[(503.5, -20.5)]","[(503.5, -20.5)]","[(254.5, -6.5)]",503.9171558897355,254.58299236201935
"[(432.5, 1.5)]","[(205.5, -8.5)]","[(432.5, 1.5)]","[(205.5, -8.5)]",432.50260114824744,205.6757156302124
"[(482.5, 12.5)]","[(253.5, -0.5)]","[(482.5, 12.5)]","[(253.5, -0.5)]",482.6618899395311,253.50049309616736
"[(502.5, 20.5)]","[(290.5, -5.5)]","[(502.5, 20.5)]","[(290.5, -5.5)]",502.91798536143045,290.55206073955145
"[(468.5, 2.5)]","[(274.5, -4.5)]","[(468.5, 2.5)]","[(274.5, -4.5)]",468.5066701766369,274.5368827680536
